"column_name","data_type","is_nullable","column_default"
"id","integer","NO","nextval('auditors_report_id_seq'::regclass)"
"fiscal_year","integer","NO",""
"period","character varying","NO",""
"opinion_on_financial_statements","text","YES",""
"basis_for_opinion","text","YES",""
"key_audit_matters","text","YES",""
"responsibilities_of_management_and_the_auditor","text","YES",""
"other_legal_and_regulatory_requirements","text","YES",""
"created_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"updated_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
