"column_name","data_type","is_nullable","column_default"
"id","uuid","NO","gen_random_uuid()"
"company_id","uuid","YES",""
"reporting_period","uuid","YES",""
"fiscal_year","integer","YES",""
"fiscal_quarter","integer","YES",""
"net_income","numeric","YES",""
"depreciation_and_amortization","numeric","YES",""
"stock_based_compensation","numeric","YES",""
"other_non_cash_items","numeric","YES",""
"change_in_accounts_receivable","numeric","YES",""
"change_in_inventory","numeric","YES",""
"change_in_accounts_payable","numeric","YES",""
"change_in_other_working_capital","numeric","YES",""
"cash_flow_from_operations","numeric","YES",""
"capital_expenditures","numeric","YES",""
"investments_in_intangibles","numeric","YES",""
"proceeds_from_sale_of_assets","numeric","YES",""
"other_investing_activities","numeric","YES",""
"cash_flow_from_investing","numeric","YES",""
"issuance_of_debt","numeric","YES",""
"repayment_of_debt","numeric","YES",""
"issuance_of_equity","numeric","YES",""
"repurchase_of_stock","numeric","YES",""
"dividends_paid","numeric","YES",""
"other_financing_activities","numeric","YES",""
"cash_flow_from_financing","numeric","YES",""
"effect_of_exchange_rate_changes_on_cash","numeric","YES",""
"net_increase_decrease_in_cash","numeric","YES",""
"cash_at_beginning_of_period","numeric","YES",""
"cash_at_end_of_period","numeric","YES",""
"document_id","uuid","YES",""
"operating_activities_cash_inflows_cash_received_from_customers","numeric","YES",""
"operating_activities_cash_inflows_interest_received","numeric","YES",""
"operating_activities_cash_inflows_dividends_received","numeric","YES",""
"operating_activities_cash_outflows_cash_paid_to_suppliers_and_e","numeric","YES",""
"operating_activities_cash_outflows_interest_paid","numeric","YES",""
"operating_activities_cash_outflows_income_taxes_paid","numeric","YES",""
"operating_activities_cash_outflows_other_operating_cash_payment","numeric","YES",""
"operating_activities_adjustments_for_non_cash_items_depreciatio","numeric","YES",""
"operating_activities_adjustments_for_non_cash_items_stock_based","numeric","YES",""
"operating_activities_adjustments_for_non_cash_items_deferred_in","numeric","YES",""
"operating_activities_adjustments_for_non_cash_items_gain_loss_o","numeric","YES",""
"operating_activities_adjustments_for_non_cash_items_impairment_","numeric","YES",""
"operating_activities_adjustments_for_non_cash_items_provision_f","numeric","YES",""
"operating_activities_adjustments_for_non_cash_items_other_non_c","numeric","YES",""
"operating_activities_changes_in_working_capital_change_in_accou","numeric","YES",""
"operating_activities_changes_in_working_capital_change_in_inven","numeric","YES",""
"operating_activities_changes_in_working_capital_change_in_prepa","numeric","YES",""
"operating_activities_changes_in_working_capital_change_in_other","numeric","YES",""
"operating_activities_changes_in_working_capital_change_in_accru","numeric","YES",""
"operating_activities_changes_in_working_capital_change_in_defer","numeric","YES",""
"operating_activities_other_operating_activities_cash_paid_for_l","numeric","YES",""
"operating_activities_other_operating_activities_cash_paid_for_r","numeric","YES",""
"operating_activities_other_operating_activities_cash_paid_for_e","numeric","YES",""
"investing_activities_cash_inflows_proceeds_from_sale_of_ppe","numeric","YES",""
"investing_activities_cash_inflows_proceeds_from_sale_of_intangi","numeric","YES",""
"investing_activities_cash_inflows_proceeds_from_sale_of_investm","numeric","YES",""
"investing_activities_cash_inflows_proceeds_from_sale_of_subsidi","numeric","YES",""
"investing_activities_cash_inflows_collections_on_loans_made_to_","numeric","YES",""
"investing_activities_cash_outflows_purchase_of_ppe_capex","numeric","YES",""
"investing_activities_cash_outflows_purchase_of_intangible_asset","numeric","YES",""
"investing_activities_cash_outflows_purchase_of_long_term_invest","numeric","YES",""
"investing_activities_cash_outflows_acquisition_of_subsidiaries_","numeric","YES",""
"investing_activities_cash_outflows_purchase_of_investments_in_a","numeric","YES",""
"investing_activities_cash_outflows_loans_made_to_others","numeric","YES",""
"investing_activities_cash_outflows_other_investing_cash_payment","numeric","YES",""
"investing_activities_other_investing_activities_capitalized_dev","numeric","YES",""
"investing_activities_other_investing_activities_payments_for_en","numeric","YES",""
"investing_activities_other_investing_activities_cash_paid_for_a","numeric","YES",""
"financing_activities_cash_inflows_proceeds_from_issuance_of_com","numeric","YES",""
"financing_activities_cash_inflows_proceeds_from_issuance_of_pre","numeric","YES",""
"financing_activities_cash_inflows_proceeds_from_issuance_of_deb","numeric","YES",""
"financing_activities_cash_inflows_proceeds_from_borrowings","numeric","YES",""
"financing_activities_cash_inflows_proceeds_from_lease_financing","numeric","YES",""
"financing_activities_cash_outflows_repurchase_of_common_stock_t","numeric","YES",""
"financing_activities_cash_outflows_repurchase_of_preferred_stoc","numeric","YES",""
"financing_activities_cash_outflows_payment_of_dividends_cash_di","numeric","YES",""
"financing_activities_cash_outflows_payment_of_dividends_stock_d","numeric","YES",""
"financing_activities_cash_outflows_repayment_of_debt_principal","numeric","YES",""
"financing_activities_cash_outflows_payments_for_lease_obligatio","numeric","YES",""
"financing_activities_cash_outflows_other_financing_cash_payment","numeric","YES",""
"financing_activities_other_financing_activities_cash_paid_for_i","numeric","YES",""
"financing_activities_other_financing_activities_cash_received_f","numeric","YES",""
"financing_activities_other_financing_activities_cash_paid_for_e","numeric","YES",""
"supplemental_cash_flow_non_cash_investing_and_financing_activit","numeric","YES",""
