"column_name","data_type","is_nullable","column_default"
"id","integer","NO","nextval('statement_of_shareholders_equity_id_seq'::regclass)"
"fiscal_year","integer","NO",""
"period","character varying","NO",""
"beginning_balances_common_stock","numeric","YES",""
"beginning_balances_preferred_stock","numeric","YES",""
"beginning_balances_additional_paid_in_capital","numeric","YES",""
"beginning_balances_retained_earnings","numeric","YES",""
"beginning_balances_treasury_stock","numeric","YES",""
"beginning_balances_accumulated_other_comprehensive_income_aoci","numeric","YES",""
"beginning_balances_non_controlling_interest","numeric","YES",""
"contributions_issuance_of_common_stock_number_of_shares_issued","integer","YES",""
"contributions_issuance_of_common_stock_par_value","numeric","YES",""
"contributions_issuance_of_common_stock_additional_paid_in_capit","numeric","YES",""
"contributions_issuance_of_preferred_stock_number_of_shares_issu","integer","YES",""
"contributions_issuance_of_preferred_stock_par_value","numeric","YES",""
"contributions_issuance_of_preferred_stock_additional_paid_in_ca","numeric","YES",""
"contributions_stock_options_and_warrants_issuance_of_stock_opti","numeric","YES",""
"contributions_stock_options_and_warrants_exercise_of_stock_opti","numeric","YES",""
"contributions_stock_options_and_warrants_proceeds_from_warrants","numeric","YES",""
"retained_earnings_net_income","numeric","YES",""
"retained_earnings_dividends_paid_cash_dividends","numeric","YES",""
"retained_earnings_dividends_paid_stock_dividends","numeric","YES",""
"retained_earnings_dividends_paid_property_dividends","numeric","YES",""
"retained_earnings_prior_period_adjustments","numeric","YES",""
"retained_earnings_other_adjustments_to_retained_earnings","numeric","YES",""
"dividends_cash_dividends_paid","numeric","YES",""
"dividends_stock_dividends_paid","numeric","YES",""
"dividends_property_dividends_paid","numeric","YES",""
"other_equity_changes_stock_repurchases_cost_of_treasury_shares_","numeric","YES",""
"other_equity_changes_stock_repurchases_reissuance_of_treasury_s","numeric","YES",""
"other_equity_changes_stock_based_compensation_vesting_of_stock_","numeric","YES",""
"other_equity_changes_stock_based_compensation_expense_recogniti","numeric","YES",""
"other_equity_changes_accumulated_other_comprehensive_income_unr","numeric","YES",""
"other_equity_changes_accumulated_other_comprehensive_income_pen","numeric","YES",""
"other_equity_changes_accumulated_other_comprehensive_income_for","numeric","YES",""
"other_equity_changes_accumulated_other_comprehensive_income_oth","numeric","YES",""
"other_equity_changes_revaluation_surplus_increases_in_asset_val","numeric","YES",""
"other_equity_changes_revaluation_surplus_decreases_in_asset_val","numeric","YES",""
"other_equity_changes_changes_in_ownership_interests_mergers_and","numeric","YES",""
"other_equity_changes_changes_in_ownership_interests_spinoffs","numeric","YES",""
"other_equity_changes_changes_in_ownership_interests_asset_sales","numeric","YES",""
"other_equity_changes_conversion_of_preferred_to_common_stock","numeric","YES",""
"other_equity_changes_other_changes_in_equity_capital_contributi","numeric","YES",""
"other_equity_changes_other_changes_in_equity_capital_withdrawal","numeric","YES",""
"non_controlling_interest_changes_due_to_net_income_attributable","numeric","YES",""
"non_controlling_interest_changes_dividends_paid_to_non_controll","numeric","YES",""
"non_controlling_interest_changes_other_changes_in_non_controlli","numeric","YES",""
"comprehensive_income_total_comprehensive_income_for_the_period","numeric","YES",""
"comprehensive_income_cumulative_comprehensive_income","numeric","YES",""
"ending_balances_common_stock","numeric","YES",""
"ending_balances_preferred_stock","numeric","YES",""
"ending_balances_additional_paid_in_capital","numeric","YES",""
"ending_balances_retained_earnings","numeric","YES",""
"ending_balances_treasury_stock","numeric","YES",""
"ending_balances_accumulated_other_comprehensive_income_aoci","numeric","YES",""
"ending_balances_non_controlling_interest","numeric","YES",""
"equity_in_affiliates_investment_in_affiliates","numeric","YES",""
"equity_in_affiliates_share_of_earnings_from_affiliates","numeric","YES",""
"created_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
"updated_at","timestamp with time zone","YES","CURRENT_TIMESTAMP"
